,DES_Density,DES_Temperature_para,DES_Temperature_perp,DES_Velocity_x,DES_Velocity_y,DES_Velocity_z,DIS_Density,DIS_Temperature_para,DIS_Temperature_perp,DIS_Velocity_x,DIS_Velocity_y,DIS_Velocity_z,FGM_Magnetic_Field_w,FGM_Magnetic_Field_x,FGM_Magnetic_Field_y,FGM_Magnetic_Field_z,Time
1624,1.8842679,242.84404,220.90306,-62.8444,-47.69365,-15.966403,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-10.761587750579388,8.587871954377297,37.04321617680477,39.51914933056791,2016-10-22 20:53:13.239231
1625,1.796876,225.21289,207.27414,-61.89987,-49.224464,20.917276,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.86315005640887,7.236142102182335,37.59292489652847,39.533171602074496,2016-10-22 20:53:17.739257
1626,1.8155336,204.59372,193.41927,-35.497055,-50.119507,-4.9897575,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.760630709903383,6.504296846997813,37.16912329890136,38.97589772478484,2016-10-22 20:53:22.239291
1627,1.8028073,187.58173,173.90195,12.101196,-58.80429,-14.432642,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-10.504100472307519,6.178344556311328,38.20220401856523,40.09883476722804,2016-10-22 20:53:26.739317
1628,1.8022887,190.58737,175.22426,-7.8685055,-47.21975,-12.574249,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-10.547782540988909,7.082179934175195,36.80315024392519,38.934366615919735,2016-10-22 20:53:31.239350
1629,1.7534615,207.08102,186.53523,-6.469248,-28.355688,-36.330067,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.405815257990762,6.4133297447784505,37.277762148940774,38.97732235114728,2016-10-22 20:53:35.739376
1630,1.7420872,201.90672,178.6889,36.505997,-21.297739,13.692013,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-9.008728969158437,5.309374575092014,37.03843610857175,38.486263568916065,2016-10-22 20:53:40.239409
1631,1.7622892,206.29779,185.15811,45.25193,25.402323,-22.980427,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-7.616370957373249,4.981914543459071,37.140141153174774,38.23896479061304,2016-10-22 20:53:44.739435
1632,1.8131527,220.97913,199.0214,16.029558,39.337418,-25.327324,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-6.129260354033159,5.87672425023252,37.08883087227294,38.04845743647993,2016-10-22 20:53:49.239468
1633,1.7344633,241.13702,223.00525,0.44443446,19.308083,-21.093678,16.449565887451172,202.39349365234375,298.5068664550781,-58.08159637451172,67.69890594482422,56.197357177734375,-5.5228757093606,6.551369093635026,36.52407550660067,37.515737863534994,2016-10-22 20:53:53.739493
